imageUrl	title	totalScore	reviewsCount	state	city	phone	categoryName	description	placeId	location/lat	location/lng
https://lh5.googleusercontent.com/p/AF1QipNw3cF_5L4ZGbCTohsJTdu3cLpLgHKCuzwfQQrr=w426-h240-k-no	Masjid Raya Syekh Ahmad Khatib Al Minangkabawi Sumatera Barat	4.8	21195	Sumatera Barat	Kota Padang		Tempat Ibadah	Pusat ibadah dan belajar Islam yang megah dengan 4 atap lancip yang meniru rumah tradisional suku.	ChIJ8xkjjdm41C8R03CQNCOI-us	-0.9242957	100.3624336
https://lh5.googleusercontent.com/p/AF1QipOaPWIR2sWBWL8-1joAEsGscZkMWHMdDQENRrrc=w408-h306-k-no	Mercure Padang	4.5	5699	West Sumatra	Padang City	+62 751 891188	Hotel	Polished quarters in a contemporary hotel offering a sleek restaurant & an outdoor pool, plus a gym.	ChIJy_0jCS251C8RhUZNQrDWSYM	-0.9358997	100.3527424
https://lh5.googleusercontent.com/p/AF1QipMXCxTVWo8UNUcXhkQKzHHfUwjm7PsO-xYtldDk=w408-h306-k-no	Museum Adityawarman	4.4	3335	Sumatera Barat	Kota Padang	+62 821-7100-3088	Wisata Budaya dan Sejarah	Museum sejarah dan kebudayaan regional yang dikelola negara di sebuah bangunan tradisional beratap menara.	ChIJcRVmd0651C8Re8cvlAEemYE	-0.9567959	100.3562191
https://lh5.googleusercontent.com/p/AF1QipPVFJxNbtdMtlB4eOS4Gmq5eogStjAS3Xri_x0u=w408-h306-k-no	Batu Malin Kundang	4.1	2583	Sumatera Barat	Kota Padang		Wisata Budaya dan Sejarah		ChIJQTCKd5q71C8RcDIGQCwG7Aw	-0.9944478	100.3645746
https://lh5.googleusercontent.com/p/AF1QipO_9QXANRrt7o0a10zKHUgAQwCrCyzml4Jt6V3X=w408-h306-k-no	Jembatan Siti Nurbaya	4.5	2479	Sumatera Barat	Kota Padang	+62 852-7420-2292	Jembatan	Jembatan kendaraan & pejalan kaki berlampu, tempat wisata populer untuk lalu lintas kapal & matahari terbenam.	ChIJB0CKwbu51C8RHsdYifRIiEI	-0.9652237	100.3590277
https://lh5.googleusercontent.com/p/AF1QipNZ9GeucXMZRecMheUbImG6jXWBfFB1GdXK0P5x=w408-h709-k-no	Taplau Padang	4.5	1558	Sumatera Barat	Kota Padang		Pantai		ChIJUeaCIV6_1C8RlNmj2eE3AgE	-0.9305813	100.3500867
https://lh5.googleusercontent.com/p/AF1QipPMli-uAFvxQDR7DF_0lwfU57cTZyD3IbHGBpml=w408-h306-k-no	Panorama 2 Sitinjau Lauik	4.6	1090	Sumatera Barat	Kota Padang		Wisata Alam		ChIJJX3BUDi11C8RkzlZ9sHqbEg	-0.9384881	100.5341791
https://lh5.googleusercontent.com/p/AF1QipNjE1rawR5779wo_TMSTQC9S3ZSQE63pN6tYQQ=w408-h326-k-no	Kelenteng See Hien Kiong	4.6	560	Sumatera Barat	Kota Padang		Wisata Budaya dan Sejarah		ChIJC6A2klm51C8R6UNVCnmXpgY	-0.9621315	100.3627471
https://lh5.googleusercontent.com/p/AF1QipMbpv8zKVvHrG2EeWGZeBOlTUKSSYV53PgwsJBT=w408-h306-k-no	Taman Siti Nurbaya	4.6	506	Sumatera Barat	Kota Padang		City Park		ChIJHWMIEgC81C8R80L9kSJvNQc	-0.9653256	100.359632
https://lh5.googleusercontent.com/p/AF1QipNSgZWWK4dOCslIScrZ8SYg1jmFhH2f0Y6AfWtI=w426-h240-k-no	Yangi beach Cafe	4.3	455	Sumatera Barat	Kota Padang	+62 813-3788-5476	Coffe shop		ChIJM7hTPjSl1C8Rh6qG8MoljC4	-1.0450249	100.4130331
